City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
555,Loncoche,CL,72.54,-39.3667,-72.6333,few clouds,Loncoche
588,Aketi,CD,76.8,2.7388,23.7833,broken clouds,Hôtel Mabinza
591,Marsabit,KE,72.79,2.3284,37.9899,clear sky,Chicho Hotel
594,Cayenne,GF,82.44,4.9333,-52.3333,scattered clouds,Central Hôtel
596,Malindi,KE,80.76,-3.2175,40.1191,scattered clouds,Young Safari
600,Meulaboh,ID,73.94,4.1363,96.1285,overcast clouds,Hotel Meuligou
601,Antalaha,MG,76.08,-14.9003,50.2788,light rain,Hôtel Florida
613,Puerto Escondido,MX,85.3,15.85,-97.0667,clear sky,Hotel Barlovento
617,Ondjiva,AO,75.18,-17.0667,15.7333,overcast clouds,Águia Verde Hotel
621,Santiago Del Estero,AR,78.53,-27.7951,-64.2615,overcast clouds,Nuevo Hotel Brístol
628,Valparaiso,CL,75.43,-33.0393,-71.6273,clear sky,Ibis Hotel
632,Galle,LK,74.73,6.0367,80.217,overcast clouds,Jungle Hostel Villa
635,Mahebourg,MU,75.25,-20.4081,57.7,heavy intensity rain,Grand Bel Air
638,Olinda,BR,83.93,-8.0089,-34.8553,few clouds,Fidji Motel
641,Cap Estate,LC,82.06,14.0833,-60.95,scattered clouds,Chez Marie Alish
642,Mbini,GQ,80.64,1.574,9.6134,broken clouds,La Trisa
644,Waingapu,ID,78.15,-9.6567,120.2641,overcast clouds,HOTEL SANDLEWOOD
647,Diego De Almagro,CL,84.72,-26.3667,-70.05,clear sky,Residencial Hambyll
661,San Vicente,AR,84.6,-26.6167,-54.1333,overcast clouds,Los Lapachos
673,Moroni,KM,80.74,-11.7022,43.2551,broken clouds,Ville de Moroni
678,Cape Canaveral,US,86.07,28.4058,-80.6048,scattered clouds,Holiday Inn Club Vacations Cape Canaveral Beach Resort
680,Iquique,CL,78.84,-20.2208,-70.1431,broken clouds,Hostal Vivar
682,Sakaraha,MG,72.7,-22.9,44.5333,light rain,Palace Club
686,Upata,VE,78.19,8.0086,-62.3989,overcast clouds,Hotel Garibardi
690,Banjar,ID,76.91,-8.19,114.9675,overcast clouds,Villa Banjar Beach
700,Bandundu,CD,73.92,-3.3167,17.3667,broken clouds,Majestik Hotel
